n p i v c erreur statut etat temps_creation temps gap obj obj_upper obj_lower validite
10 2 4 2 2 ras True True 0.036 0.18 0.0 169.46 169.46 169.46 1
10 2 4 3 0 ras True True 0.00532 0.034 0.0 169.46 169.46 169.46 1
10 2 4 3 1 ras True True 0.00754 0.181 0.0 169.46 169.46 169.46 1
10 2 4 3 2 ras True True 0.03571 0.109 0.0 169.46 169.46 169.46 1
10 2 5 1 0 ras True True 0.00238 0.045 0.0 146.51 146.51 146.51 1
10 2 5 1 1 ras True True 0.00386 0.156 0.0 146.51 146.51 146.51 1
10 2 5 1 2 ras True True 0.00237 0.134 0.0 146.51 146.51 146.51 1
10 2 5 2 0 ras True True 0.00511 0.033 0.0 146.51 146.51 146.51 1
10 2 5 2 1 ras True True 0.02254 0.484 0.0 146.51 146.51 146.51 1
10 2 5 2 2 ras True True 0.03633 0.154 0.0 146.51 146.51 146.51 1
10 2 5 3 0 ras True True 0.00478 0.035 0.0 146.51 146.51 146.51 1
10 2 5 3 1 ras True True 0.00746 0.188 0.0 146.51 146.51 146.51 1
10 2 5 3 2 ras True True 0.03521 0.131 0.0 146.51 146.51 146.51 1
10 3 1 1 0 ras True True 0.00236 0.127 0.0 153.39 153.39 153.39 1
10 3 1 1 1 ras True True 0.00332 0.272 0.0 153.39 153.39 153.39 1
10 3 1 1 2 ras True True 0.00227 0.139 0.0 153.39 153.39 153.39 1
10 3 1 2 0 ras True True 0.00595 0.147 0.0 153.39 153.39 153.39 1
10 3 1 2 1 ras True True 0.02266 0.25 0.0 153.39 153.39 153.39 1
10 3 1 2 2 ras True True 0.03636 0.292 0.0 153.39 153.39 153.39 1
10 3 1 3 0 ras True True 0.00477 0.046 0.0 153.39 153.39 153.39 1
10 3 1 3 1 ras True True 0.00892 0.419 0.0 153.39 153.39 153.39 1
10 3 1 3 2 ras True True 0.03522 0.138 0.0 153.39 153.39 153.39 1
10 3 2 1 0 ras True True 0.00232 0.101 0.0 91.08 91.08 91.08 1
10 3 2 1 1 ras True True 0.00289 0.144 0.0 162.27 162.27 162.27 1
10 3 2 1 2 ras True True 0.00228 0.131 0.0 162.27 162.27 162.27 1
10 3 2 2 0 ras True True 0.00529 0.022 0.0 91.08 91.08 91.08 1
10 3 2 2 1 ras True True 0.02298 0.359 0.0 162.27 162.27 162.27 1
10 3 2 2 2 ras True True 0.03672 1.014 0.0 162.27 162.27 162.27 1
10 3 2 3 0 ras True True 0.00506 0.029 0.0 91.08 91.08 91.08 1
10 3 2 3 1 ras True True 0.00753 0.055 0.0 162.27 162.27 162.27 1
10 3 2 3 2 ras True True 0.03527 0.141 0.0 162.27 162.27 162.27 1
10 3 3 1 0 ras True True 0.00237 0.145 0.0 116.87 116.87 116.87 1
10 3 3 1 1 ras True True 0.00263 0.181 0.0 131.21 131.21 131.21 1
10 3 3 1 2 ras True True 0.00224 0.177 0.39 131.21 131.21 130.7 1
10 3 3 2 0 ras True True 0.00515 0.042 0.0 116.87 116.87 116.87 1
10 3 3 2 1 ras True True 0.02335 0.793 0.0 131.21 131.21 131.21 1
10 3 3 2 2 ras True True 0.03713 0.751 0.0 131.21 131.21 131.21 1
10 3 3 3 0 ras True True 0.00483 0.041 0.0 116.87 116.87 116.87 1
10 3 3 3 1 ras True True 0.00771 0.421 0.0 131.21 131.21 131.21 1
10 3 3 3 2 ras True True 0.03493 0.163 0.0 131.21 131.21 131.21 1
10 3 4 1 0 ras True True 0.0024 0.128 0.0 112.92 112.92 112.92 1
10 3 4 1 1 ras True True 0.00392 0.124 0.0 124.02 124.02 124.02 1
10 3 4 1 2 ras True True 0.00269 0.11 0.0 124.02 124.02 124.02 1
10 3 4 2 0 ras True True 0.00523 0.034 0.0 112.92 112.92 112.92 1
10 3 4 2 1 ras True True 0.02304 0.203 0.0 124.02 124.02 124.02 1
10 3 4 2 2 ras True True 0.03649 0.455 0.0 124.02 124.02 124.02 1
10 3 4 3 0 ras True True 0.00506 0.039 0.0 112.92 112.92 112.92 1
10 3 4 3 1 ras True True 0.00784 0.165 0.0 124.02 124.02 124.02 1
10 3 4 3 2 ras True True 0.03609 0.157 0.0 124.02 124.02 124.02 1
10 3 5 1 0 ras True True 0.00248 0.132 0.25 135.72 135.72 135.383 1
10 3 5 1 1 ras True True 0.00344 0.228 0.0 161.11 161.11 161.11 1
10 3 5 1 2 ras True True 0.00223 0.113 0.0 161.11 161.11 161.11 1
10 3 5 2 0 ras True True 0.00639 0.066 0.0 135.72 135.72 135.72 1
10 3 5 2 1 ras True True 0.02264 0.395 0.0 161.11 161.11 161.11 1
10 3 5 2 2 ras True True 0.03674 0.856 0.0 161.11 161.11 161.11 1
10 3 5 3 0 ras True True 0.00531 0.035 0.0 135.72 135.72 135.72 1
10 3 5 3 1 ras True True 0.00774 0.118 0.0 161.11 161.11 161.11 1
10 3 5 3 2 ras True True 0.03557 0.31 0.0 161.11 161.11 161.11 1
